,state_code,country,population,top,counts,cuisine_names
298,NH,Vietnam,2076,top9,16.0,Vietnam
299,NH,Korea,2052,top10,10.0,Korea
300,NJ,India,248849,top1,12053.0,India
301,NJ,Dominican Republic,167377,top2,3004.0,Dominican Republic
302,NJ,Mexico,114932,top3,27517.0,"Mexico, Taco, Tex-Mex"
303,NJ,Philippines,83800,top4,1137.0,Philippines
304,NJ,Colombia,81211,top5,2571.0,Colombia
305,NJ,Ecuador,77710,top6,995.0,Ecuador
306,NJ,China,74395,top7,62439.0,China
307,NJ,Korea,70500,top8,6337.0,Korea
308,NJ,Peru,60409,top9,3147.0,Peru
309,NJ,El Salvador,47782,top10,934.0,El Salvador
310,NM,Mexico,139747,top1,414.0,"Mexico, Taco, Tex-Mex"
311,NM,Philippines,4947,top2,0.0,Philippines
312,NM,Germany,4331,top3,2.0,Germany
313,NM,China,3224,top4,104.0,China
314,NM,Vietnam,3215,top5,43.0,Vietnam
315,NM,India,3093,top6,15.0,India
316,NM,Canada,3059,top7,0.0,Canada
317,NM,Guatemala,2209,top8,427.0,Guatemala
318,NM,El Salvador,1980,top9,1.0,El Salvador
319,NM,Cuba,1835,top10,2.0,Cuba
320,NV,Mexico,226047,top1,638.0,"Mexico, Taco, Tex-Mex"
321,NV,Philippines,84894,top2,39.0,Philippines
322,NV,El Salvador,25438,top3,4.0,El Salvador
323,NV,Cuba,18880,top4,8.0,Cuba
324,NV,China,17184,top5,348.0,China
325,NV,Guatemala,13493,top6,672.0,Guatemala
326,NV,Korea,10936,top7,58.0,Korea
327,NV,Canada,10472,top8,0.0,Canada
328,NV,Vietnam,9590,top9,75.0,Vietnam
329,NV,India,9486,top10,49.0,India
330,NY,Dominican Republic,495797,top1,217.0,Dominican Republic
331,NY,China,397220,top2,4877.0,China
332,NY,Jamaica,230275,top3,228.0,Jamaica
333,NY,Mexico,225373,top4,2177.0,"Mexico, Taco, Tex-Mex"
334,NY,Ecuador,176275,top5,71.0,Ecuador
335,NY,Guyana,163223,top6,665.0,South America
336,NY,India,160769,top7,918.0,India
337,NY,Haiti,128209,top8,1313.0,Haiti
338,NY,El Salvador,109733,top9,67.0,El Salvador
339,NY,Colombia,102754,top10,184.0,Colombia
340,OH,India,60167,top1,140.0,India
341,OH,Mexico,44526,top2,1106.0,"Mexico, Taco, Tex-Mex"
342,OH,China,34939,top3,1024.0,China
343,OH,Germany,15032,top4,45.0,Germany
344,OH,Philippines,14808,top5,7.0,Philippines
345,OH,Canada,14413,top6,0.0,Canada
346,OH,Korea,12833,top7,65.0,Korea
347,OH,Vietnam,11801,top8,68.0,Vietnam
348,OH,Other South Central Asia,11002,top9,165.0,Other South Central Asia
349,OH,Somalia,10497,top10,39.0,Somalia
350,OK,Mexico,109717,top1,588.0,"Mexico, Taco, Tex-Mex"
351,OK,Vietnam,14358,top2,50.0,Vietnam
352,OK,India,9834,top3,28.0,India
353,OK,Guatemala,7209,top4,549.0,Guatemala
354,OK,China,7115,top5,270.0,China
355,OK,Philippines,5329,top6,2.0,Philippines
356,OK,Korea,4996,top7,24.0,Korea
357,OK,Germany,4902,top8,11.0,Germany
358,OK,Honduras,3843,top9,9.0,South America
359,OK,Canada,3763,top10,0.0,Canada
360,OR,Mexico,147435,top1,2968.0,"Mexico, Taco, Tex-Mex"
361,OR,Vietnam,21647,top2,585.0,Vietnam
362,OR,China,21341,top3,1570.0,China
363,OR,India,17628,top4,253.0,India
364,OR,Canada,14621,top5,5.0,Canada
365,OR,Philippines,14216,top6,19.0,Philippines
366,OR,Korea,11714,top7,272.0,Korea
367,OR,Ukraine,9194,top8,0.0,Ukraine
368,OR,Germany,8825,top9,126.0,Germany
369,OR,Japan,6359,top10,1684.0,"Japan, Sushi, Teriyaki, Ramen"
370,PA,India,87256,top1,167.0,India
371,PA,China,62929,top2,1668.0,China
372,PA,Dominican Republic,61516,top3,5.0,Dominican Republic
373,PA,Mexico,57457,top4,604.0,"Mexico, Taco, Tex-Mex"
374,PA,Vietnam,33139,top5,125.0,Vietnam
375,PA,Korea,28661,top6,68.0,Korea
376,PA,Jamaica,20644,top7,36.0,Jamaica
377,PA,Philippines,20326,top8,9.0,Philippines
378,PA,Germany,19169,top9,38.0,Germany
379,PA,Ukraine,18841,top10,0.0,Ukraine
380,RI,Dominican Republic,26233,top1,7.0,Dominican Republic
381,RI,Portugal,15478,top2,87.0,Portugal
382,RI,Guatemala,13136,top3,160.0,Guatemala
383,RI,Cabo Verde,8235,top4,23.0,Cabo Verde
384,RI,India,5857,top5,16.0,India
385,RI,Colombia,5736,top6,2.0,Colombia
386,RI,China,5313,top7,310.0,China
387,RI,Mexico,3508,top8,120.0,"Mexico, Taco, Tex-Mex"
388,RI,Cambodia,2902,top9,0.0,Cambodia
389,RI,Haiti,2848,top10,14.0,Haiti
390,SC,Mexico,67263,top1,604.0,"Mexico, Taco, Tex-Mex"
391,SC,India,13113,top2,48.0,India
392,SC,Philippines,10119,top3,6.0,Philippines
393,SC,Germany,9422,top4,14.0,Germany
394,SC,Colombia,9054,top5,3.0,Colombia
395,SC,China,9000,top6,575.0,China
396,SC,Canada,7745,top7,0.0,Canada
397,SC,Guatemala,7713,top8,653.0,Guatemala
